,ship_mode,segment,city,state,postal_code,region,category,sub_category,product_name,sales,quantity,discount,profit,delivery_days,price_per_item,spent
73,0,0,Memphis,Tennessee,38109,3,1,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213,6,48.52,194.08
74,0,0,Memphis,Tennessee,38109,3,0,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196,6,72.784,72.784
75,2,1,Houston,Texas,77041,2,0,Binders,Economy Binders,1.248,3,0.8,-1.9344,2,0.416,3.7439999999999998
76,2,1,Houston,Texas,77041,2,1,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248,2,3.236,29.124000000000002
77,2,1,Houston,Texas,77041,2,0,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724,2,9.08,81.72
78,1,0,Houston,Texas,77070,2,1,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475,5,3.8600000000000003,96.5
79,2,1,Decatur,Alabama,35601,3,0,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0.0,56.2032,3,208.16,208.16
80,2,1,Decatur,Alabama,35601,3,0,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0.0,8.0352,3,5.579999999999999,50.22
81,0,0,San Francisco,California,94122,0,0,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0.0,4.172,4,2.98,74.5
82,0,0,San Francisco,California,94122,0,0,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0.0,6.2031,4,21.39,21.39
83,0,1,Durham,North Carolina,27707,3,0,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075,5,28.712,1406.8880000000001
84,2,2,Chicago,Illinois,60623,2,0,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549,3,76.792,691.128
85,1,0,Columbia,South Carolina,29203,3,1,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0.0,33.2156,2,150.98,603.92
86,0,0,Rochester,Minnesota,55901,2,2,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0.0,6.7966,7,19.99,19.99
87,0,0,Rochester,Minnesota,55901,2,0,Labels,Avery 511,6.16,2,0.0,2.9568,7,3.08,12.32
88,1,2,Houston,Texas,77095,2,0,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572,5,22.624,1108.576
89,0,1,Los Angeles,California,90036,0,0,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0.0,6.633,5,6.7,60.300000000000004
90,0,1,Los Angeles,California,90036,0,2,Phones,Panasonic Kx-TS550,73.584,2,0.2,8.2782,5,36.792,147.168
91,0,1,Los Angeles,California,90036,0,0,Paper,Xerox 1995,6.48,1,0.0,3.1104,5,6.48,6.48
92,1,0,Minneapolis,Minnesota,55407,2,0,Paper,Xerox 1999,12.96,2,0.0,6.2208,5,6.48,25.92
93,1,0,Minneapolis,Minnesota,55407,2,1,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0.0,16.5354,5,17.78,160.02
94,1,0,Minneapolis,Minnesota,55407,2,0,Binders,Ibico Standard Transparent Covers,32.96,2,0.0,16.1504,5,16.48,65.92
95,0,2,Portland,Oregon,97206,0,0,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788,6,5.682,5.682
96,1,2,New York City,New York,10009,1,1,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0.0,40.5426,2,13.790000000000001,675.71
97,2,0,San Francisco,California,94122,0,0,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592,3,17.104,153.93599999999998
98,0,1,Saint Paul,Minnesota,55106,2,0,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0.0,22.5852,5,12.979999999999999,467.28
99,0,2,Chicago,Illinois,60610,2,0,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184,4,9.232,452.36799999999994
100,0,2,Chicago,Illinois,60610,2,2,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,-10.7973,4,31.992,287.928
101,0,2,Chicago,Illinois,60610,2,0,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8,-3.0396,4,0.596,5.364
102,1,0,Rochester,Minnesota,55901,2,0,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0.0,11.7208,3,5.98,95.68
103,0,0,Aurora,Colorado,80013,0,2,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,-26.8758,4,39.815999999999995,1433.376
104,0,0,Aurora,Colorado,80013,0,1,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.8385,4,34.12,307.08
105,0,0,Aurora,Colorado,80013,0,0,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,0.7,-25.8174,4,12.293999999999999,110.64599999999999
106,0,0,Charlotte,North Carolina,28205,3,2,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,0.2,17.6016,5,9.264,592.896
107,0,0,Charlotte,North Carolina,28205,3,2,Phones,Speck Products Candyshell Flip Case,27.992,1,0.2,2.0994,5,27.992,27.992
108,0,0,Charlotte,North Carolina,28205,3,0,Art,Newell Chalk Holder,3.304,1,0.2,1.0738,5,3.304,3.304
109,0,2,Orland Park,Illinois,60462,2,2,Accessories,Logitech Gaming G510s - Keyboard,339.96,5,0.2,67.992,5,67.99199999999999,1699.8
110,0,1,New York City,New York,10035,1,1,Furnishings,Magnifier Swing Arm Lamp,41.96,2,0.0,10.9096,5,20.98,83.92
111,0,0,Urbandale,Iowa,50322,2,0,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0.0,22.788,7,37.98,151.92
112,0,0,Urbandale,Iowa,50322,2,0,Binders,"Avery Durable Plastic 1"" Binders",27.24,6,0.0,13.3476,7,4.54,163.44
113,1,0,Columbus,Ohio,43229,1,0,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,14,0.2,14.5348,2,2.864,561.3439999999999
114,1,0,Columbus,Ohio,43229,1,0,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2,0.2,1.652,2,2.36,9.44
115,1,0,Columbus,Ohio,43229,1,0,Paper,Xerox 1921,23.976,3,0.2,7.4925,2,7.992,71.928
116,1,0,Columbus,Ohio,43229,1,0,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6,0.2,44.0316,2,21.744,782.784
117,0,0,Seattle,Washington,98103,0,1,Tables,Hon Racetrack Conference Tables,787.53,3,0.0,165.3813,4,262.51,2362.59
118,0,1,Bristol,Tennessee,37620,3,0,Binders,GBC DocuBind 300 Electric Binding Machine,157.794,1,0.7,-115.7156,5,157.794,157.794
119,2,0,Wilmington,Delaware,19805,1,1,Furnishings,Artistic Insta-Plaque,47.04,3,0.0,18.3456,3,15.68,141.12
120,2,0,Wilmington,Delaware,19805,1,0,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4,0.0,13.878,3,7.71,123.36
121,2,0,Wilmington,Delaware,19805,1,0,Storage,"Companion Letter/Legal File, Black",226.56,6,0.0,63.4368,3,37.76,1359.3600000000001
122,2,0,Wilmington,Delaware,19805,1,0,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,9,0.0,51.759,3,12.78,1035.18
123,2,0,Wilmington,Delaware,19805,1,2,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7,0.0,19.7316,3,9.72,476.28000000000003
124,1,2,Houston,Texas,77041,2,1,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3,0.3,-8.5794,2,200.186,1801.674
125,0,0,Bloomington,Illinois,61701,2,1,Tables,Bevis 44 x 96 Conference Tables,617.7,6,0.5,-407.682,5,102.95,3706.2000000000003
126,0,0,Phoenix,Arizona,85023,0,0,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,2,0.7,-1.8308,7,1.194,4.776
127,0,0,Phoenix,Arizona,85023,0,0,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7,0.2,30.499,7,34.856,1707.944
128,1,2,Los Angeles,California,90004,0,1,Chairs,"Global Task Chair, Black",81.424,2,0.2,-9.1602,4,40.712,162.848
129,1,2,Los Angeles,California,90004,0,1,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3,0.0,26.2416,4,79.52,715.6800000000001
130,2,1,Columbus,Ohio,43229,1,2,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5,0.4,-11.994,3,11.994,299.85
131,2,1,Columbus,Ohio,43229,1,0,Paper,Xerox 1916,78.304,2,0.2,29.364,3,39.152,156.608
132,2,1,Columbus,Ohio,43229,1,0,Fasteners,Staples,21.456,9,0.2,6.9732,3,2.384,193.10399999999998
133,0,0,Roseville,California,95661,0,0,Paper,Xerox 195,20.04,3,0.0,9.6192,6,6.68,60.12
134,0,0,Roseville,California,95661,0,0,Paper,Xerox 1880,35.44,1,0.0,16.6568,6,35.44,35.44
135,0,0,Roseville,California,95661,0,0,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,4,0.0,3.456,6,2.88,46.08
136,0,0,Roseville,California,95661,0,0,Fasteners,Ideal Clamps,4.02,2,0.0,1.9698,6,2.01,8.04
137,0,0,Roseville,California,95661,0,0,Binders,GBC Wire Binding Strips,76.176,3,0.2,26.6616,6,25.392,228.52800000000002
138,0,0,Roseville,California,95661,0,0,Supplies,Fiskars Softgrip Scissors,65.88,6,0.0,18.4464,6,10.979999999999999,395.28
139,0,0,Roseville,California,95661,0,1,Furnishings,Longer-Life Soft White Bulbs,43.12,14,0.0,20.6976,6,3.0799999999999996,603.68
140,1,1,Philadelphia,Pennsylvania,19140,1,1,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,2,0.2,10.35,2,41.4,165.6
141,0,1,San Francisco,California,94122,0,0,Art,Newell 343,8.82,3,0.0,2.3814,5,2.94,26.46
142,0,1,San Francisco,California,94122,0,0,Envelopes,Convenience Packs of Business Envelopes,10.86,3,0.0,5.1042,5,3.6199999999999997,32.58
143,0,1,San Francisco,California,94122,0,0,Paper,Xerox 1911,143.7,3,0.0,68.976,5,47.9,431.09999999999997
144,0,0,Independence,Missouri,64055,2,0,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43,3,0.0,218.2518,5,279.81,2518.29
145,0,0,Pasadena,California,91104,0,0,Storage,Safco Industrial Wire Shelving,671.93,7,0.0,20.1579,5,95.99,4703.509999999999
146,0,2,Newark,Ohio,43055,1,1,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",93.888,4,0.2,12.9096,6,23.472,375.552
147,0,1,Franklin,Wisconsin,53132,2,2,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45,11,0.0,103.8015,4,34.949999999999996,4228.95
148,0,1,Franklin,Wisconsin,53132,2,2,Phones,Anker Astro 15000mAh USB Portable Charger,149.97,3,0.0,5.9988,4,49.99,449.90999999999997
149,0,1,Franklin,Wisconsin,53132,2,1,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,8,0.0,585.552,4,243.98,15614.72
150,0,1,Franklin,Wisconsin,53132,2,0,Binders,GBC Prestige Therm-A-Bind Covers,171.55,5,0.0,80.6285,4,34.31,857.75
151,2,2,Scottsdale,Arizona,85254,0,0,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5,0.2,17.766,3,31.583999999999996,789.5999999999999
152,2,2,Scottsdale,Arizona,85254,0,2,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.184,2,0.2,15.2388,3,101.592,406.368
153,2,1,San Jose,California,95123,0,0,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38,7,0.0,26.271,2,8.34,408.66
154,2,1,San Jose,California,95123,0,0,Paper,Xerox 1883,105.52,4,0.0,48.5392,2,26.38,422.08
155,2,1,San Jose,California,95123,0,0,Storage,"Tenex Personal Project File with Scoop Front Design, Black",80.88,6,0.0,21.0288,2,13.479999999999999,485.28
156,0,2,Seattle,Washington,98105,0,0,Art,Newell 311,6.63,3,0.0,1.7901,6,2.21,19.89
157,1,0,Seattle,Washington,98115,0,1,Chairs,Global Deluxe High-Back Manager's Chair,457.568,2,0.2,51.4764,5,228.784,915.136
158,0,0,Edmond,Oklahoma,73034,2,0,Labels,Avery 519,14.62,2,0.0,6.8714,4,7.31,29.24
159,0,0,Edmond,Oklahoma,73034,2,2,Phones,Avaya 5420 Digital phone,944.93,7,0.0,236.2325,4,134.98999999999998,6614.509999999999
160,2,0,Los Angeles,California,90045,0,0,Paper,Xerox 1920,5.98,1,0.0,2.691,1,5.98,5.98
161,1,0,Philadelphia,Pennsylvania,19134,1,2,Accessories,Lenovo 17-Key USB Numeric Keypad,54.384,2,0.2,1.3596,3,27.192,108.768
162,0,0,Carlsbad,New Mexico,88220,0,0,Envelopes,Staple envelope,28.4,5,0.0,13.348,4,5.68,142.0
163,0,0,Seattle,Washington,98115,0,0,Binders,Wilson Jones International Size A4 Ring Binders,27.68,2,0.2,9.688,4,13.84,55.36
164,0,0,San Antonio,Texas,78207,2,0,Art,BIC Brite Liner Highlighters,9.936,3,0.2,2.7324,4,3.312,29.808
165,0,0,San Antonio,Texas,78207,2,2,Machines,Lexmark MX611dhe Monochrome Laser Printer,8159.952,8,0.4,-1359.992,4,1019.994,65279.616
166,0,0,San Antonio,Texas,78207,2,0,Storage,Space Solutions HD Industrial Steel Shelving.,275.928,3,0.2,-58.6347,4,91.976,827.784
167,0,0,San Antonio,Texas,78207,2,1,Chairs,SAFCO Arco Folding Chair,1740.06,9,0.3,-24.858,4,193.34,15660.539999999999
168,0,0,San Antonio,Texas,78207,2,0,Art,Sanford Liquid Accent Highlighters,32.064,6,0.2,6.8136,4,5.344,192.38400000000001
169,0,0,San Antonio,Texas,78207,2,0,Appliances,Kensington 7 Outlet MasterPiece Power Center,177.98,5,0.8,-453.849,4,35.596,889.9
170,0,0,San Antonio,Texas,78207,2,2,Phones,JBL Micro Wireless Portable Bluetooth Speaker,143.976,3,0.2,8.9985,4,47.992,431.928
171,0,0,Los Angeles,California,90004,0,0,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",20.94,3,0.0,9.8418,4,6.98,62.82000000000001
172,0,0,Los Angeles,California,90004,0,0,Paper,Xerox 1913,110.96,2,0.0,53.2608,4,55.48,221.92
173,0,0,Los Angeles,California,90004,0,1,Chairs,"Global Value Steno Chair, Gray",340.144,7,0.2,21.259,4,48.592,2381.008
174,0,1,Chicago,Illinois,60623,2,0,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,52.448,2,0.8,-131.12,5,26.224,104.896
175,0,1,Chicago,Illinois,60623,2,0,Labels,Avery 51,20.16,4,0.2,6.552,5,5.04,80.64
176,1,0,Houston,Texas,77036,2,0,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",97.264,4,0.8,-243.16,4,24.316,389.056
177,1,0,Newark,Ohio,43055,1,1,Chairs,"Padded Folding Chairs, Black, 4/Carton",396.802,7,0.3,-11.3372,2,56.686,2777.614
178,1,0,Newark,Ohio,43055,1,0,Supplies,Acme Rosewood Handle Letter Opener,15.88,5,0.2,-3.7715,2,3.176,79.4
179,0,2,New York City,New York,10009,1,0,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",3.28,1,0.0,1.4104,4,3.28,3.28
180,1,1,Decatur,Illinois,62521,2,0,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",24.816,2,0.2,1.8612,4,12.408,49.632
181,1,1,Decatur,Illinois,62521,2,2,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,408.744,7,0.2,76.6395,4,58.392,2861.208
